Traicao,Traidor,CasaTraidor,Vitima,Relac_Traidor-Vitima,CasaVitima,ConsequenciaImediata,Local,Obs
Daenerys é vendida para Drogo,Varys,X,Viserys Targaryen,Aliado(a),Targaryen,Ganha aliado,Across the Narrow Sea,
Daenerys é vendida para Drogo,Viserys Targaryen,Targaryen,Daenarys,Irmão,Targaryen,Ganha aliado,Across the Narrow Sea,
Coloca os Starks contra os Lannisters,Lysa Arryn,Arryn,Catelyn Stark,Irmã,Stark,Coloca Starks contra Lannisters,Winterfell,
Affair de Cersei e Jaime,Cersei,Lannister,Robert Baratheon,Esposa,Baratheon,Rumores/Fofocas,King's Landing, 7 Kindoms,
Lysa envenena Jon,Lysa Arryn,Arryn,Jon Arryn,Esposa,Arryn,Troca de Poder,King's Landing, 7 Kindoms,
Sansa trai Arya,Sansa,Stark,Arya,Irmã,Stark,,King's Landing, 7 Kindoms,
A adaga do assassino,Petyr,Baelish,Tyrion,Aliado(a),Lannister,Tyrion preso por Catelyn,King's Langing,
Varys e Illyrio conspiram contra o trono/rei,Varys,X,Robert Baratheon,Aliado(a),Baratheon,,King's Landing,
Rouba os ovos de dragão,Viserys Targaryen,Targaryen,Daenarys,Irmão,Targaryen,Falhou, levou à própria morte,Across the Narrow Sea,
Não confia no Petyr Baelish (Mindinho),Petyr,Baelish,Ned,Aliado(a),Stark,Troca de Poder, novo Rei,King's Landing, 7 Kindoms,
Espiona Daenerys,Jorah Mormont,Targaryen,Daenarys,Empregado,Targaryen,,Across the Narrow Sea,
Agente duplo,Jorah Mormont,Targaryen,Varys,Empregado,X,,Across the Narrow Sea,
Acidente durante a caçada,Cersei,Lannister,Robert Baratheon,Esposa,Baratheon,Troca de Poder - de Baratheon para Lannister,King's Landing, 7 Kindoms,
Decapitação de Ned,Joffrey,Lannister,Ned,Rival,Stark,Troca de Poder,King's Landing, 7 Kindoms,
Decapitação de Ned,Varys,X,Ned,Rival,Stark,Troca de Poder,King's Landing, 7 Kindoms,
Mirri engana Daenerys,Mirri Maz Duur,X,Daenarys,Empregado,Targaryen,Troca de Poder,Across the Narrow Sea,
Rei do Norte,Robb Stark,Stark,Joffrey,Rival,Lannister,Guerra,Riverrun,
Tentativa de envenenar Melisandre,Cressen,Baratheon,Melisandre,Aliado(a),Baratheon,Sua própria morte,Dragonstone,
Renly coroado Rei,Renly Baratheon,Baratheon,Stannis Baratheon,Irmão,Baratheon,Guerra,?,
Ataque ao Norte,Theon,Greyjoy,Robb Stark,Aliado(a),Stark,Troca de Poder,Winterfell,
Morte Sombria (Sombra criada por Melisandre),Stannis Baratheon,Baratheon,Renly Baratheon,Irmão,Baratheon,Troca de Poder,Stormlands,
Enviou Myrcella para Dorne,Tyrion,Lannister,Cersei,Irmão,Lannister,,King's Landing,
Roubo dos Dragões,Xaro Xhoan Daxos,Qarth,Daenarys,Aliado(a),Targaryen,Dinheiro,Qarth,
Catelyn liberta Jaime,Catelyn Stark,Stark,Robb Stark,Mãe,Stark,Guerra,Riverlands,
Navios Queimados,Melisandre,Baratheon,Stannis Baratheon,Empregado,Baratheon,Derrota na guerra,King's Landing,Para deixar claro que ela é necessária.
Tentativa de matar Tyrion,Mandon Moore,X,Tyrion,Empregado,Lannister,,King's Landing,Ordenado por Joffrey
Robb casa com Talisa,Robb Stark,Stark,Willam Frey,Aliado(a),Frey,,Riverlands,
Davos tenta matar Melisandre,Davos Seaworth,Baratheon,Melisandre,Empregado,Baratheon,Prisioneiro,Dragonstone, 7 Kingdoms,
Morte de Craster,Karl Tanner,Night's Watch,Craster,Aliado(a),Free Folk,Morte de Jeor Mormont,Beyond the Wall,
Morte de Jeor Mormont,Rast,Night's Watch,Jeor Mermont,Aliado(a),Night's Watch,,Beyond the Wall,
Liberta os Imaculados,Daenarys,Targaryen,Kraznys mo Nakloz ,Aliado(a),X,Daenarys ganha exercito e conquista a cidade,Astapor in Slaver's Bay, Across the Narrow Sea,
Daario se junta a Daenerys ,Daario Naharis,X,Mero & Braavosi,Empregado,Second Sons,Junta-se a Daenarys,Across the Narrow Sea,
Cersei é prometida a Loras,Tywin,Lannister,Cersei,Pai,Lannister,,,
Casamento Vermelho,Roose Bolton,Bolton,Robb Stark,Aliado(a),Stark,Starks são assassinados,The Twins, The Riverlands, Westeros,
Casamento Vermelho,Walder Frey,Frey,Robb Stark,Aliado(a),Stark,Aliam-se aos Lannisters ,The Twins, The Riverlands, Westeros,
Jon abandona Ygritte,Jon Snow,Stark,Ygritte ,Namorados,Freefolk ,,The Gift, South of the Wall,
Joffrey é envenenado,Petyr,Baelish,Joffrey,Aliado(a),Lannister,Tyrion é preso,Kings Landing, 7 Kingdoms,
Joffrey é envenenado,Olenna Tyrell,Tyrell,Joffrey,Aliado(a),Lannister,Tyrion é preso,Kings Landing, 7 Kingdoms,
Revolta dos Escravos de Meereen,Escravos,X,Os Grandes Mestres,Empregado,X,Dany se torna a rainha de Meereen,Across the Narrow Sea,
Cersei pede a Jamie para matar Tyrion,Cersei,Lannister,Tyrion,Irmã,Lannister,Jamie não mata/ Ele acredita na inocência de Tyrion,Kings Landing, 7 Kingdoms,
Testemunho mentiroso/vingativo de Shae,Shae,X,Tyrion,Apaixonados,Lannister,Julgamento por Combate,Kings Landing, 7 Kingdoms,
Varys testemunha conta Tyrion,Varys,X,Tyrion,Aliado(a),Lannister,Julgamento por Combate,Kings Landing, 7 Kingdoms,
Petyr Baelish (Mindinho) mata Lysa,Petyr,Baelish,Lysa Arryn,Amigo(a),Arryn,Troca de Poder - Petyr é Lorde do Vale,The Vale, 7 Kingdoms,
